GameDate,start_date,end_date
2007-04-01,2007-04-01,2007-04-01
2007-04-02,2007-04-02,2007-04-02
2007-04-03,2007-04-03,2007-04-03
2007-04-04,2007-04-04,2007-04-04
2007-04-05,2007-04-05,2007-04-05
2007-04-06,2007-04-06,2007-04-06
2007-04-07,2007-04-07,2007-04-07
2007-04-08,2007-04-08,2007-04-08
2007-04-09,2007-04-09,2007-04-09
2007-04-10,2007-04-10,2007-04-10
2007-04-11,2007-04-11,2007-04-11
2007-04-12,2007-04-12,2007-04-12
2007-04-13,2007-04-13,2007-04-13
2007-04-14,2007-04-14,2007-04-14
2007-04-15,2007-04-15,2007-04-15
2007-04-16,2007-04-16,2007-04-16
2007-04-17,2007-04-17,2007-04-17
2007-04-18,2007-04-18,2007-04-18
2007-04-19,2007-04-19,2007-04-19
2007-04-20,2007-04-20,2007-04-20
2007-04-21,2007-04-21,2007-04-21
2007-04-22,2007-04-22,2007-04-22
2007-04-23,2007-04-23,2007-04-23
2007-04-24,2007-04-24,2007-04-24
2007-04-25,2007-04-25,2007-04-25
2007-04-26,2007-04-26,2007-04-26
2007-04-27,2007-04-27,2007-04-27
2007-04-28,2007-04-28,2007-04-28
2007-04-29,2007-04-29,2007-04-29
2007-04-30,2007-04-30,2007-04-30
2007-05-01,2007-05-01,2007-05-01
2007-05-02,2007-05-02,2007-05-02
2007-05-03,2007-05-03,2007-05-03
2007-05-04,2007-05-04,2007-05-04
2007-05-05,2007-05-05,2007-05-05
2007-05-06,2007-05-06,2007-05-06
2007-05-07,2007-05-07,2007-05-07
2007-05-08,2007-05-08,2007-05-08
2007-05-09,2007-05-09,2007-05-09
2007-05-10,2007-05-10,2007-05-10
2007-05-11,2007-05-11,2007-05-11
2007-05-12,2007-05-12,2007-05-12
2007-05-13,2007-05-13,2007-05-13
2007-05-14,2007-05-14,2007-05-14
2007-05-15,2007-05-15,2007-05-15
2007-05-16,2007-05-16,2007-05-16
2007-05-17,2007-05-17,2007-05-17
2007-05-18,2007-05-18,2007-05-18
2007-05-19,2007-05-19,2007-05-19
2007-05-20,2007-05-20,2007-05-20
2007-05-21,2007-05-21,2007-05-21
2007-05-22,2007-05-22,2007-05-22
2007-05-23,2007-05-23,2007-05-23
2007-05-24,2007-05-24,2007-05-24
2007-05-25,2007-05-25,2007-05-25
2007-05-26,2007-05-26,2007-05-26
2007-05-27,2007-05-27,2007-05-27
2007-05-28,2007-05-28,2007-05-28
2007-05-29,2007-05-29,2007-05-29
2007-05-30,2007-05-30,2007-05-30
2007-05-31,2007-05-31,2007-05-31
2007-06-01,2007-06-01,2007-06-01
2007-06-02,2007-06-02,2007-06-02
2007-06-03,2007-06-03,2007-06-03
2007-06-04,2007-06-04,2007-06-04
2007-06-05,2007-06-05,2007-06-05
2007-06-06,2007-06-06,2007-06-06
2007-06-07,2007-06-07,2007-06-07
2007-06-08,2007-06-08,2007-06-08
2007-06-09,2007-06-09,2007-06-09
2007-06-10,2007-06-10,2007-06-10
2007-06-11,2007-06-11,2007-06-11
2007-06-12,2007-06-12,2007-06-12
2007-06-13,2007-06-13,2007-06-13
2007-06-14,2007-06-14,2007-06-14
2007-06-15,2007-06-15,2007-06-15
2007-06-16,2007-06-16,2007-06-16
2007-06-17,2007-06-17,2007-06-17
2007-06-18,2007-06-18,2007-06-18
2007-06-19,2007-06-19,2007-06-19
2007-06-20,2007-06-20,2007-06-20
2007-06-21,2007-06-21,2007-06-21
2007-06-22,2007-06-22,2007-06-22
2007-06-23,2007-06-23,2007-06-23
2007-06-24,2007-06-24,2007-06-24
2007-06-25,2007-06-25,2007-06-25
2007-06-26,2007-06-26,2007-06-26
2007-06-27,2007-06-27,2007-06-27
2007-06-28,2007-06-28,2007-06-28
2007-06-29,2007-06-29,2007-06-29
2007-06-30,2007-06-30,2007-06-30
2007-07-01,2007-07-01,2007-07-01
2007-07-02,2007-07-02,2007-07-02
2007-07-03,2007-07-03,2007-07-03
2007-07-04,2007-07-04,2007-07-04
2007-07-05,2007-07-05,2007-07-05
2007-07-06,2007-07-06,2007-07-06
2007-07-07,2007-07-07,2007-07-07
2007-07-08,2007-07-08,2007-07-08
2007-07-12,2007-07-12,2007-07-12
2007-07-13,2007-07-13,2007-07-13
2007-07-14,2007-07-14,2007-07-14
2007-07-15,2007-07-15,2007-07-15
2007-07-16,2007-07-16,2007-07-16
2007-07-17,2007-07-17,2007-07-17
2007-07-18,2007-07-18,2007-07-18
2007-07-19,2007-07-19,2007-07-19
2007-07-20,2007-07-20,2007-07-20
2007-07-21,2007-07-21,2007-07-21
2007-07-22,2007-07-22,2007-07-22
2007-07-23,2007-07-23,2007-07-23
2007-07-24,2007-07-24,2007-07-24
2007-07-25,2007-07-25,2007-07-25
2007-07-26,2007-07-26,2007-07-26
2007-07-27,2007-07-27,2007-07-27
2007-07-28,2007-07-28,2007-07-28
2007-07-29,2007-07-29,2007-07-29
2007-07-30,2007-07-30,2007-07-30
2007-07-31,2007-07-31,2007-07-31
2007-08-01,2007-08-01,2007-08-01
2007-08-02,2007-08-02,2007-08-02
2007-08-03,2007-08-03,2007-08-03
2007-08-04,2007-08-04,2007-08-04
2007-08-05,2007-08-05,2007-08-05
2007-08-06,2007-08-06,2007-08-06
2007-08-07,2007-08-07,2007-08-07
2007-08-08,2007-08-08,2007-08-08
2007-08-09,2007-08-09,2007-08-09
2007-08-10,2007-08-10,2007-08-10
2007-08-11,2007-08-11,2007-08-11
2007-08-12,2007-08-12,2007-08-12
2007-08-13,2007-08-13,2007-08-13
2007-08-14,2007-08-14,2007-08-14
2007-08-15,2007-08-15,2007-08-15
2007-08-16,2007-08-16,2007-08-16
2007-08-17,2007-08-17,2007-08-17
2007-08-18,2007-08-18,2007-08-18
2007-08-19,2007-08-19,2007-08-19
2007-08-20,2007-08-20,2007-08-20
2007-08-21,2007-08-21,2007-08-21
2007-08-22,2007-08-22,2007-08-22
2007-08-23,2007-08-23,2007-08-23
2007-08-24,2007-08-24,2007-08-24
2007-08-25,2007-08-25,2007-08-25
2007-08-26,2007-08-26,2007-08-26
2007-08-27,2007-08-27,2007-08-27
2007-08-28,2007-08-28,2007-08-28
2007-08-29,2007-08-29,2007-08-29
2007-08-30,2007-08-30,2007-08-30
2007-08-31,2007-08-31,2007-08-31
2007-09-01,2007-09-01,2007-09-01
2007-09-02,2007-09-02,2007-09-02
2007-09-03,2007-09-03,2007-09-03
2007-09-04,2007-09-04,2007-09-04
2007-09-05,2007-09-05,2007-09-05
2007-09-06,2007-09-06,2007-09-06
2007-09-07,2007-09-07,2007-09-07
2007-09-08,2007-09-08,2007-09-08
2007-09-09,2007-09-09,2007-09-09
2007-09-10,2007-09-10,2007-09-10
2007-09-11,2007-09-11,2007-09-11
2007-09-12,2007-09-12,2007-09-12
2007-09-13,2007-09-13,2007-09-13
2007-09-14,2007-09-14,2007-09-14
2007-09-15,2007-09-15,2007-09-15
2007-09-16,2007-09-16,2007-09-16
2007-09-17,2007-09-17,2007-09-17
2007-09-18,2007-09-18,2007-09-18
2007-09-19,2007-09-19,2007-09-19
2007-09-20,2007-09-20,2007-09-20
2007-09-21,2007-09-21,2007-09-21
2007-09-22,2007-09-22,2007-09-22
2007-09-23,2007-09-23,2007-09-23
2007-09-24,2007-09-24,2007-09-24
2007-09-25,2007-09-25,2007-09-25
2007-09-26,2007-09-26,2007-09-26
2007-09-27,2007-09-27,2007-09-27
2007-09-28,2007-09-28,2007-09-28
2007-09-29,2007-09-29,2007-09-29
2007-09-30,2007-09-30,2007-09-30
2007-10-01,2007-10-01,2007-10-01
2008-03-25,2008-03-25,2008-03-25
2008-03-26,2008-03-26,2008-03-26
2008-03-30,2008-03-30,2008-03-30
2008-03-31,2008-03-31,2008-03-31
2008-04-01,2008-04-01,2008-04-01
2008-04-02,2008-04-02,2008-04-02
2008-04-03,2008-04-03,2008-04-03
2008-04-04,2008-04-04,2008-04-04
2008-04-05,2008-04-05,2008-04-05
2008-04-06,2008-04-06,2008-04-06
2008-04-07,2008-04-07,2008-04-07
2008-04-08,2008-04-08,2008-04-08
2008-04-09,2008-04-09,2008-04-09
2008-04-10,2008-04-10,2008-04-10
2008-04-11,2008-04-11,2008-04-11
2008-04-12,2008-04-12,2008-04-12
2008-04-13,2008-04-13,2008-04-13
2008-04-14,2008-04-14,2008-04-14
2008-04-15,2008-04-15,2008-04-15
2008-04-16,2008-04-16,2008-04-16
2008-04-17,2008-04-17,2008-04-17
2008-04-18,2008-04-18,2008-04-18
2008-04-19,2008-04-19,2008-04-19
2008-04-20,2008-04-20,2008-04-20
2008-04-21,2008-04-21,2008-04-21
2008-04-22,2008-04-22,2008-04-22
2008-04-23,2008-04-23,2008-04-23
2008-04-24,2008-04-24,2008-04-24
2008-04-25,2008-04-25,2008-04-25
2008-04-26,2008-04-26,2008-04-26
2008-04-27,2008-04-27,2008-04-27
2008-04-28,2008-04-28,2008-04-28
2008-04-29,2008-04-29,2008-04-29
2008-04-30,2008-04-30,2008-04-30
2008-05-01,2008-05-01,2008-05-01
2008-05-02,2008-05-02,2008-05-02
2008-05-03,2008-05-03,2008-05-03
2008-05-04,2008-05-04,2008-05-04
2008-05-05,2008-05-05,2008-05-05
2008-05-06,2008-05-06,2008-05-06
2008-05-07,2008-05-07,2008-05-07
2008-05-08,2008-05-08,2008-05-08
2008-05-09,2008-05-09,2008-05-09
2008-05-10,2008-05-10,2008-05-10
2008-05-11,2008-05-11,2008-05-11
2008-05-12,2008-05-12,2008-05-12
2008-05-13,2008-05-13,2008-05-13
2008-05-14,2008-05-14,2008-05-14
2008-05-15,2008-05-15,2008-05-15
2008-05-16,2008-05-16,2008-05-16
2008-05-17,2008-05-17,2008-05-17
2008-05-18,2008-05-18,2008-05-18
2008-05-19,2008-05-19,2008-05-19
2008-05-20,2008-05-20,2008-05-20
2008-05-21,2008-05-21,2008-05-21
2008-05-22,2008-05-22,2008-05-22
2008-05-23,2008-05-23,2008-05-23
2008-05-24,2008-05-24,2008-05-24
2008-05-25,2008-05-25,2008-05-25
2008-05-26,2008-05-26,2008-05-26
2008-05-27,2008-05-27,2008-05-27
2008-05-28,2008-05-28,2008-05-28
2008-05-29,2008-05-29,2008-05-29
2008-05-30,2008-05-30,2008-05-30
2008-05-31,2008-05-31,2008-05-31
2008-06-01,2008-06-01,2008-06-01
2008-06-02,2008-06-02,2008-06-02
2008-06-03,2008-06-03,2008-06-03
2008-06-04,2008-06-04,2008-06-04
2008-06-05,2008-06-05,2008-06-05
2008-06-06,2008-06-06,2008-06-06
2008-06-07,2008-06-07,2008-06-07
2008-06-08,2008-06-08,2008-06-08
2008-06-09,2008-06-09,2008-06-09
2008-06-10,2008-06-10,2008-06-10
2008-06-11,2008-06-11,2008-06-11
2008-06-12,2008-06-12,2008-06-12
2008-06-13,2008-06-13,2008-06-13
2008-06-14,2008-06-14,2008-06-14
2008-06-15,2008-06-15,2008-06-15
2008-06-16,2008-06-16,2008-06-16
2008-06-17,2008-06-17,2008-06-17
2008-06-18,2008-06-18,2008-06-18
2008-06-19,2008-06-19,2008-06-19
2008-06-20,2008-06-20,2008-06-20
2008-06-21,2008-06-21,2008-06-21
2008-06-22,2008-06-22,2008-06-22
2008-06-23,2008-06-23,2008-06-23
2008-06-24,2008-06-24,2008-06-24
2008-06-25,2008-06-25,2008-06-25
2008-06-26,2008-06-26,2008-06-26
2008-06-27,2008-06-27,2008-06-27
2008-06-28,2008-06-28,2008-06-28
2008-06-29,2008-06-29,2008-06-29
2008-06-30,2008-06-30,2008-06-30
2008-07-01,2008-07-01,2008-07-01
2008-07-02,2008-07-02,2008-07-02
2008-07-03,2008-07-03,2008-07-03
2008-07-04,2008-07-04,2008-07-04
2008-07-05,2008-07-05,2008-07-05
2008-07-06,2008-07-06,2008-07-06
2008-07-07,2008-07-07,2008-07-07
2008-07-08,2008-07-08,2008-07-08
2008-07-09,2008-07-09,2008-07-09
2008-07-10,2008-07-10,2008-07-10
2008-07-11,2008-07-11,2008-07-11
2008-07-12,2008-07-12,2008-07-12
2008-07-13,2008-07-13,2008-07-13
2008-07-17,2008-07-17,2008-07-17
2008-07-18,2008-07-18,2008-07-18
2008-07-19,2008-07-19,2008-07-19
2008-07-20,2008-07-20,2008-07-20
2008-07-21,2008-07-21,2008-07-21
2008-07-22,2008-07-22,2008-07-22
2008-07-23,2008-07-23,2008-07-23
2008-07-24,2008-07-24,2008-07-24
2008-07-25,2008-07-25,2008-07-25
2008-07-26,2008-07-26,2008-07-26
2008-07-27,2008-07-27,2008-07-27
2008-07-28,2008-07-28,2008-07-28
2008-07-29,2008-07-29,2008-07-29
2008-07-30,2008-07-30,2008-07-30
2008-07-31,2008-07-31,2008-07-31
2008-08-01,2008-08-01,2008-08-01
2008-08-02,2008-08-02,2008-08-02
2008-08-03,2008-08-03,2008-08-03
2008-08-04,2008-08-04,2008-08-04
2008-08-05,2008-08-05,2008-08-05
2008-08-06,2008-08-06,2008-08-06
2008-08-07,2008-08-07,2008-08-07
2008-08-08,2008-08-08,2008-08-08
2008-08-09,2008-08-09,2008-08-09
2008-08-10,2008-08-10,2008-08-10
2008-08-11,2008-08-11,2008-08-11
2008-08-12,2008-08-12,2008-08-12
2008-08-13,2008-08-13,2008-08-13
2008-08-14,2008-08-14,2008-08-14
2008-08-15,2008-08-15,2008-08-15
2008-08-16,2008-08-16,2008-08-16
2008-08-17,2008-08-17,2008-08-17
2008-08-18,2008-08-18,2008-08-18
2008-08-19,2008-08-19,2008-08-19
2008-08-20,2008-08-20,2008-08-20
2008-08-21,2008-08-21,2008-08-21
2008-08-22,2008-08-22,2008-08-22
2008-08-23,2008-08-23,2008-08-23
2008-08-24,2008-08-24,2008-08-24
2008-08-25,2008-08-25,2008-08-25
2008-08-26,2008-08-26,2008-08-26
2008-08-27,2008-08-27,2008-08-27
2008-08-28,2008-08-28,2008-08-28
2008-08-29,2008-08-29,2008-08-29
2008-08-30,2008-08-30,2008-08-30
2008-08-31,2008-08-31,2008-08-31
2008-09-01,2008-09-01,2008-09-01
2008-09-02,2008-09-02,2008-09-02
2008-09-03,2008-09-03,2008-09-03
2008-09-04,2008-09-04,2008-09-04
2008-09-05,2008-09-05,2008-09-05
2008-09-06,2008-09-06,2008-09-06
2008-09-07,2008-09-07,2008-09-07
2008-09-08,2008-09-08,2008-09-08
2008-09-09,2008-09-09,2008-09-09
2008-09-10,2008-09-10,2008-09-10
2008-09-11,2008-09-11,2008-09-11
2008-09-12,2008-09-12,2008-09-12
2008-09-13,2008-09-13,2008-09-13
2008-09-14,2008-09-14,2008-09-14
2008-09-15,2008-09-15,2008-09-15
2008-09-16,2008-09-16,2008-09-16
2008-09-17,2008-09-17,2008-09-17
2008-09-18,2008-09-18,2008-09-18
2008-09-19,2008-09-19,2008-09-19
2008-09-20,2008-09-20,2008-09-20
2008-09-21,2008-09-21,2008-09-21
2008-09-22,2008-09-22,2008-09-22
2008-09-23,2008-09-23,2008-09-23
2008-09-24,2008-09-24,2008-09-24
2008-09-25,2008-09-25,2008-09-25
2008-09-26,2008-09-26,2008-09-26
2008-09-27,2008-09-27,2008-09-27
2008-09-28,2008-09-28,2008-09-28
2008-09-29,2008-09-29,2008-09-29
2008-09-30,2008-09-30,2008-09-30
2009-04-05,2009-04-05,2009-04-05
2009-04-06,2009-04-06,2009-04-06
2009-04-07,2009-04-07,2009-04-07
2009-04-08,2009-04-08,2009-04-08
2009-04-09,2009-04-09,2009-04-09
2009-04-10,2009-04-10,2009-04-10
2009-04-11,2009-04-11,2009-04-11
2009-04-12,2009-04-12,2009-04-12
2009-04-13,2009-04-13,2009-04-13
2009-04-14,2009-04-14,2009-04-14
2009-04-15,2009-04-15,2009-04-15
2009-04-16,2009-04-16,2009-04-16
2009-04-17,2009-04-17,2009-04-17
2009-04-18,2009-04-18,2009-04-18
2009-04-19,2009-04-19,2009-04-19
2009-04-20,2009-04-20,2009-04-20
2009-04-21,2009-04-21,2009-04-21
2009-04-22,2009-04-22,2009-04-22
2009-04-23,2009-04-23,2009-04-23
2009-04-24,2009-04-24,2009-04-24
2009-04-25,2009-04-25,2009-04-25
2009-04-26,2009-04-26,2009-04-26
2009-04-27,2009-04-27,2009-04-27
2009-04-28,2009-04-28,2009-04-28
2009-04-29,2009-04-29,2009-04-29
2009-04-30,2009-04-30,2009-04-30
2009-05-01,2009-05-01,2009-05-01
2009-05-02,2009-05-02,2009-05-02
2009-05-03,2009-05-03,2009-05-03
2009-05-04,2009-05-04,2009-05-04
2009-05-05,2009-05-05,2009-05-05
2009-05-06,2009-05-06,2009-05-06
2009-05-07,2009-05-07,2009-05-07
2009-05-08,2009-05-08,2009-05-08
2009-05-09,2009-05-09,2009-05-09
2009-05-10,2009-05-10,2009-05-10
2009-05-11,2009-05-11,2009-05-11
2009-05-12,2009-05-12,2009-05-12
2009-05-13,2009-05-13,2009-05-13
2009-05-14,2009-05-14,2009-05-14
2009-05-15,2009-05-15,2009-05-15
2009-05-16,2009-05-16,2009-05-16
2009-05-17,2009-05-17,2009-05-17
2009-05-18,2009-05-18,2009-05-18
2009-05-19,2009-05-19,2009-05-19
2009-05-20,2009-05-20,2009-05-20
2009-05-21,2009-05-21,2009-05-21
2009-05-22,2009-05-22,2009-05-22
2009-05-23,2009-05-23,2009-05-23
2009-05-24,2009-05-24,2009-05-24
2009-05-25,2009-05-25,2009-05-25
2009-05-26,2009-05-26,2009-05-26
2009-05-27,2009-05-27,2009-05-27
2009-05-28,2009-05-28,2009-05-28
2009-05-29,2009-05-29,2009-05-29
2009-05-30,2009-05-30,2009-05-30
2009-05-31,2009-05-31,2009-05-31
2009-06-01,2009-06-01,2009-06-01
2009-06-02,2009-06-02,2009-06-02
2009-06-03,2009-06-03,2009-06-03
2009-06-04,2009-06-04,2009-06-04
2009-06-05,2009-06-05,2009-06-05
2009-06-06,2009-06-06,2009-06-06
2009-06-07,2009-06-07,2009-06-07
2009-06-08,2009-06-08,2009-06-08
2009-06-09,2009-06-09,2009-06-09
2009-06-10,2009-06-10,2009-06-10
2009-06-11,2009-06-11,2009-06-11
2009-06-12,2009-06-12,2009-06-12
2009-06-13,2009-06-13,2009-06-13
2009-06-14,2009-06-14,2009-06-14
2009-06-15,2009-06-15,2009-06-15
2009-06-16,2009-06-16,2009-06-16
2009-06-17,2009-06-17,2009-06-17
2009-06-18,2009-06-18,2009-06-18
2009-06-19,2009-06-19,2009-06-19
2009-06-20,2009-06-20,2009-06-20
2009-06-21,2009-06-21,2009-06-21
2009-06-22,2009-06-22,2009-06-22
2009-06-23,2009-06-23,2009-06-23
2009-06-24,2009-06-24,2009-06-24
2009-06-25,2009-06-25,2009-06-25
2009-06-26,2009-06-26,2009-06-26
2009-06-27,2009-06-27,2009-06-27
2009-06-28,2009-06-28,2009-06-28
2009-06-29,2009-06-29,2009-06-29
2009-06-30,2009-06-30,2009-06-30
2009-07-01,2009-07-01,2009-07-01
2009-07-02,2009-07-02,2009-07-02
2009-07-03,2009-07-03,2009-07-03
2009-07-04,2009-07-04,2009-07-04
2009-07-05,2009-07-05,2009-07-05
2009-07-06,2009-07-06,2009-07-06
2009-07-07,2009-07-07,2009-07-07
2009-07-08,2009-07-08,2009-07-08
2009-07-09,2009-07-09,2009-07-09
2009-07-10,2009-07-10,2009-07-10
2009-07-11,2009-07-11,2009-07-11
2009-07-12,2009-07-12,2009-07-12
2009-07-16,2009-07-16,2009-07-16
2009-07-17,2009-07-17,2009-07-17
2009-07-18,2009-07-18,2009-07-18
2009-07-19,2009-07-19,2009-07-19
2009-07-20,2009-07-20,2009-07-20
2009-07-21,2009-07-21,2009-07-21
2009-07-22,2009-07-22,2009-07-22
2009-07-23,2009-07-23,2009-07-23
2009-07-24,2009-07-24,2009-07-24
2009-07-25,2009-07-25,2009-07-25
2009-07-26,2009-07-26,2009-07-26
2009-07-27,2009-07-27,2009-07-27
2009-07-28,2009-07-28,2009-07-28
2009-07-29,2009-07-29,2009-07-29
2009-07-30,2009-07-30,2009-07-30
2009-07-31,2009-07-31,2009-07-31
2009-08-01,2009-08-01,2009-08-01
2009-08-02,2009-08-02,2009-08-02
2009-08-03,2009-08-03,2009-08-03
2009-08-04,2009-08-04,2009-08-04
2009-08-05,2009-08-05,2009-08-05
2009-08-06,2009-08-06,2009-08-06
2009-08-07,2009-08-07,2009-08-07
2009-08-08,2009-08-08,2009-08-08
2009-08-09,2009-08-09,2009-08-09
2009-08-10,2009-08-10,2009-08-10
2009-08-11,2009-08-11,2009-08-11
2009-08-12,2009-08-12,2009-08-12
2009-08-13,2009-08-13,2009-08-13
2009-08-14,2009-08-14,2009-08-14
2009-08-15,2009-08-15,2009-08-15
